date,pm10,pm25,no2,so2,co,poor_air_quality
2025-01-01,61.8,32.4,49.3,13.2,1.71,1
2025-01-02,56.5,32.8,44.3,13.9,1.49,1
2025-01-03,59.0,36.9,36.0,16.2,1.74,1
2025-01-04,41.3,18.5,29.8,13.5,1.55,0
2025-01-05,34.1,16.4,45.4,12.6,1.35,0
2025-01-06,47.9,25.5,42.8,19.0,1.43,1
2025-01-07,48.4,32.2,40.7,13.8,1.07,0
2025-01-08,64.1,37.8,49.7,22.2,1.88,1
2025-01-09,42.8,28.4,49.7,14.3,1.66,1
2025-01-10,40.8,21.5,43.3,19.3,1.51,1
2025-01-11,36.2,19.2,35.3,15.2,1.14,0
2025-01-12,54.4,33.2,56.1,17.7,1.68,1
2025-01-13,47.5,28.1,56.7,12.3,1.65,1
2025-01-14,37.0,24.3,43.6,11.6,1.62,0
2025-01-15,47.3,28.2,51.7,15.5,1.3,1
2025-01-16,41.9,26.2,52.3,16.7,1.31,1
2025-01-17,37.1,23.6,49.7,13.7,1.44,1
2025-01-18,46.3,29.9,49.3,10.2,1.44,1
2025-01-19,48.4,32.2,49.1,9.6,1.26,1
2025-01-20,44.1,21.9,47.8,9.7,1.48,1
2025-01-21,48.9,23.1,35.7,8.8,1.62,1
2025-01-22,49.3,32.9,50.0,14.7,1.53,1
2025-01-23,50.3,33.2,32.9,17.7,1.55,1
2025-01-24,36.0,19.1,33.8,13.3,1.25,0
2025-01-25,49.3,24.1,54.5,7.5,1.75,1
2025-01-26,38.4,22.8,46.1,13.1,1.12,1
2025-01-27,40.4,28.0,52.7,13.0,1.2,1
2025-01-28,44.1,31.5,39.6,19.9,1.34,1
2025-01-29,29.2,19.6,28.8,8.2,1.33,0
2025-01-30,35.4,20.7,37.7,11.9,0.97,0
2025-01-31,30.9,17.4,38.4,18.0,0.93,0
2025-02-01,40.8,25.2,42.1,14.9,0.98,0
2025-02-02,44.4,25.4,50.5,15.1,1.38,1
2025-02-03,40.0,20.9,35.6,13.6,1.14,1
2025-02-04,41.0,30.1,43.0,14.1,1.24,1
2025-02-05,32.9,26.2,31.1,15.3,1.34,0
2025-02-06,26.3,20.8,38.5,10.2,0.95,0
2025-02-07,37.3,20.3,39.5,15.8,1.34,1
2025-02-08,40.4,27.0,34.9,9.0,1.22,1
2025-02-09,39.7,25.5,37.3,13.8,1.41,0
2025-02-10,49.1,30.0,40.9,13.9,1.55,1
2025-02-11,47.2,31.1,38.5,11.4,1.27,1
2025-02-12,47.6,28.8,56.8,13.2,1.38,1
2025-02-13,36.4,23.8,37.3,10.9,1.43,0
2025-02-14,44.9,28.9,39.1,10.3,1.45,1
2025-02-15,40.8,26.5,23.6,12.0,1.02,1
2025-02-16,41.2,19.9,32.9,9.4,1.45,0
2025-02-17,37.3,22.0,35.3,13.7,1.04,0
2025-02-18,40.2,21.2,32.9,9.4,1.56,0
2025-02-19,31.8,16.8,47.8,14.3,1.4,0
2025-02-20,38.5,28.3,36.4,9.2,1.32,1
2025-02-21,30.9,25.5,44.8,10.4,1.16,0
2025-02-22,33.5,24.5,36.8,10.0,1.13,0
2025-02-23,46.3,28.5,39.6,16.9,1.53,0
2025-02-24,54.8,35.5,42.7,14.2,1.43,1
2025-02-25,30.6,18.9,35.1,11.2,1.17,0
2025-02-26,28.2,17.8,46.9,13.1,1.22,0
2025-02-27,24.0,12.3,13.6,4.9,0.87,0
2025-02-28,31.0,20.9,17.5,11.7,0.99,1
2025-03-01,36.9,22.2,31.1,17.9,0.97,1
2025-03-02,37.8,19.6,37.5,12.4,1.0,0
2025-03-03,42.6,25.0,44.9,12.4,0.92,0
2025-03-04,48.8,27.2,43.7,13.7,1.5,1
2025-03-05,78.6,49.8,45.5,16.4,2.17,1
2025-03-06,47.1,29.7,46.5,5.7,1.6,1
2025-03-07,49.7,28.7,47.1,7.3,1.04,1
2025-03-08,39.1,23.9,38.8,12.0,1.37,1
2025-03-09,29.9,19.1,40.8,9.0,1.34,0
2025-03-10,27.5,16.5,35.7,14.9,0.92,0
2025-03-11,29.9,15.3,29.1,10.2,1.05,0
2025-03-12,30.9,18.1,37.0,4.9,0.65,0
2025-03-13,39.5,21.1,35.7,7.5,1.26,0
2025-03-14,48.8,23.5,37.6,3.9,1.14,1
2025-03-15,40.0,25.8,46.9,10.9,1.22,1
2025-03-16,21.3,15.6,9.9,9.9,0.6,0
2025-03-17,38.1,17.2,24.8,9.8,1.24,0
2025-03-18,43.8,24.2,25.4,14.2,1.43,1
2025-03-19,38.6,24.7,30.8,14.6,0.96,0
2025-03-20,43.8,28.4,33.9,10.6,0.99,1
2025-03-21,24.3,19.2,17.4,3.8,0.49,0
2025-03-22,42.2,24.5,26.9,12.6,1.14,0
2025-03-23,26.6,14.3,22.1,11.7,0.82,0
2025-03-24,25.6,12.4,48.9,10.9,0.61,0
2025-03-25,22.5,15.3,42.9,12.7,1.0,0
2025-03-26,24.9,16.3,25.4,6.3,0.86,1
2025-03-27,28.5,22.0,27.2,15.8,0.72,0
2025-03-28,39.5,25.2,24.3,7.1,0.97,1
2025-03-29,31.5,17.8,15.4,12.5,1.18,0
2025-03-30,30.6,13.9,28.9,5.2,1.09,0
2025-03-31,39.4,21.5,23.5,7.4,1.09,1
2025-04-01,26.6,15.9,26.7,13.6,1.02,0
2025-04-02,32.5,18.3,17.0,8.7,0.77,0
2025-04-03,40.7,21.2,26.1,12.6,1.12,0
2025-04-04,25.1,15.7,28.2,10.2,0.89,0
2025-04-05,32.7,16.8,31.3,8.8,0.86,0
2025-04-06,30.9,16.7,31.0,13.3,1.03,1
2025-04-07,25.3,16.9,15.2,8.3,0.68,0
2025-04-08,26.4,14.8,33.5,3.8,0.95,0
2025-04-09,37.5,21.8,22.7,6.9,1.12,0
2025-04-10,51.4,28.9,38.6,11.4,0.67,1
2025-04-11,32.0,14.7,27.6,10.3,1.18,0
2025-04-12,48.6,25.5,20.9,5.3,0.59,0
2025-04-13,44.6,29.6,29.2,7.3,0.96,1
2025-04-14,27.2,13.2,29.6,6.9,1.03,0
2025-04-15,39.0,15.9,34.0,7.9,0.98,0
2025-04-16,27.9,10.7,24.6,4.1,0.51,0
2025-04-17,32.0,18.7,39.7,6.9,0.72,0
2025-04-18,20.1,12.8,31.1,5.9,0.91,0
2025-04-19,16.3,9.8,19.2,10.0,0.29,0
2025-04-20,27.4,21.0,32.2,11.0,1.05,0
2025-04-21,16.8,2.1,37.9,6.9,0.68,0
2025-04-22,19.8,13.6,38.8,6.4,0.54,0
2025-04-23,22.8,18.5,13.8,8.1,0.58,0
2025-04-24,37.3,17.4,19.0,5.9,0.79,0
2025-04-25,28.6,15.6,37.7,4.7,0.98,0
2025-04-26,20.1,10.3,14.0,4.6,0.87,0
2025-04-27,39.1,19.0,17.6,6.2,0.63,0
2025-04-28,29.1,15.7,21.1,4.3,0.76,0
2025-04-29,27.1,20.5,27.2,8.1,0.61,0
2025-04-30,20.2,18.9,20.9,9.6,0.98,0
2025-05-01,31.8,17.3,19.8,3.0,0.56,0
2025-05-02,20.5,18.0,15.7,7.3,1.04,0
2025-05-03,24.0,14.9,17.3,6.6,0.73,0
2025-05-04,16.7,15.1,11.5,7.7,0.35,0
2025-05-05,18.1,11.2,38.2,6.6,0.55,0
2025-05-06,39.0,22.6,29.8,3.4,0.78,0
2025-05-07,26.4,16.7,29.1,3.2,0.54,0
2025-05-08,28.3,24.9,18.3,7.5,0.81,1
2025-05-09,18.9,14.0,17.5,9.9,0.37,0
2025-05-10,41.5,20.5,21.1,1.2,0.54,0
2025-05-11,22.9,16.2,2.0,7.8,0.62,0
2025-05-12,28.5,14.6,11.0,10.4,0.43,0
2025-05-13,15.7,8.3,4.4,5.5,0.43,0
2025-05-14,32.2,21.3,4.7,8.6,0.64,0
2025-05-15,26.3,15.1,11.9,4.5,0.54,0
2025-05-16,20.0,13.3,30.5,6.0,1.04,0
2025-05-17,65.2,34.2,32.9,3.7,1.34,1
2025-05-18,24.0,14.4,30.3,0.7,0.72,0
2025-05-19,26.3,16.2,26.0,9.1,0.34,0
2025-05-20,20.0,5.9,25.7,3.0,0.48,0
2025-05-21,21.8,14.8,12.2,5.1,0.68,0
2025-05-22,21.4,10.4,22.8,2.1,0.42,0
2025-05-23,18.5,7.0,23.8,1.6,0.76,0
2025-05-24,17.5,10.4,13.8,5.2,0.35,0
2025-05-25,11.3,8.4,21.2,3.2,0.41,0
2025-05-26,11.8,5.5,21.1,6.5,0.37,0
2025-05-27,28.4,18.6,16.4,7.6,0.7,1
2025-05-28,22.3,9.5,8.9,7.4,0.52,0
2025-05-29,15.8,7.9,7.3,6.2,0.47,0
2025-05-30,7.4,3.2,13.7,9.9,0.34,0
2025-05-31,11.8,7.4,16.8,1.7,0.33,0
2025-06-01,32.6,18.0,14.7,5.9,0.85,0
2025-06-02,31.5,14.1,21.2,9.8,0.75,0
2025-06-03,43.7,25.8,29.5,10.6,0.93,1
2025-06-04,13.7,8.6,20.2,0.5,0.39,0
2025-06-05,37.5,15.3,35.4,5.6,1.01,0
2025-06-06,8.9,0.5,23.2,9.3,0.34,0
2025-06-07,17.8,9.6,8.1,6.3,0.45,0
2025-06-08,33.0,17.8,33.4,6.9,0.8,0
2025-06-09,14.3,8.4,9.5,3.8,0.85,0
2025-06-10,18.2,11.1,25.3,4.3,0.29,0
2025-06-11,26.2,16.0,18.5,6.4,0.78,0
2025-06-12,25.1,17.2,15.2,4.2,0.26,0
2025-06-13,12.2,4.6,2.7,4.8,0.49,0
2025-06-14,20.0,8.3,15.1,5.7,0.91,0
2025-06-15,26.6,11.7,6.5,3.6,0.78,0
2025-06-16,23.7,14.1,24.7,7.1,0.59,0
2025-06-17,11.4,10.7,24.7,13.4,0.33,0
2025-06-18,24.0,13.3,11.7,0.5,0.63,0
2025-06-19,15.5,1.5,16.8,6.0,0.4,0
2025-06-20,22.3,7.1,10.8,3.3,0.43,0
2025-06-21,27.1,13.3,14.8,7.4,0.62,0
2025-06-22,25.1,12.1,22.7,5.0,0.63,0
2025-06-23,23.6,11.6,17.3,7.2,0.47,0
2025-06-24,15.9,9.8,28.3,8.2,0.35,0
2025-06-25,22.1,11.6,13.4,5.4,0.31,0
2025-06-26,21.0,15.0,24.2,8.4,0.61,0
2025-06-27,20.2,8.9,16.8,0.6,0.63,0
2025-06-28,18.1,8.2,21.1,9.4,0.59,0
2025-06-29,24.6,15.2,13.2,6.5,0.78,0
2025-06-30,13.3,2.8,14.1,8.0,0.48,0
2025-07-01,23.6,14.3,17.6,1.4,0.69,0
2025-07-02,28.3,16.2,12.0,2.9,0.73,0
2025-07-03,40.4,21.9,26.9,6.1,0.81,0
2025-07-04,6.0,9.3,17.2,4.2,0.23,0
2025-07-05,9.2,4.9,19.2,5.3,0.84,0
2025-07-06,15.6,15.8,27.0,8.1,0.36,0
2025-07-07,15.3,8.7,27.2,0.6,0.36,0
2025-07-08,31.4,14.0,16.5,8.7,0.84,0
2025-07-09,20.2,12.4,19.0,5.0,0.59,0
2025-07-10,12.9,4.7,9.2,4.1,0.17,0
2025-07-11,20.5,9.2,16.6,0.9,0.74,0
2025-07-12,18.2,11.6,10.3,6.5,0.52,0
2025-07-13,9.6,7.6,25.2,0.6,0.19,0
2025-07-14,18.7,8.2,19.3,6.9,0.8,0
2025-07-15,44.2,26.7,22.5,1.7,1.05,1
2025-07-16,18.6,13.6,26.2,5.3,0.27,0
2025-07-17,18.0,14.9,3.2,4.5,0.87,0
2025-07-18,17.4,11.9,2.1,8.6,0.65,0
2025-07-19,38.2,25.4,28.5,5.6,0.86,1
2025-07-20,21.0,6.3,18.2,3.1,0.88,0
2025-07-21,13.7,7.1,16.9,3.3,0.51,0
2025-07-22,9.3,4.5,2.1,8.4,0.44,0
2025-07-23,12.1,8.3,13.2,6.1,0.31,0
2025-07-24,8.4,4.2,29.5,3.6,0.48,0
2025-07-25,26.3,13.9,24.9,4.9,0.72,0
2025-07-26,13.8,14.6,16.3,0.7,0.5,0
2025-07-27,21.0,11.9,14.3,6.4,0.42,0
2025-07-28,22.4,13.6,14.9,0.9,0.65,1
2025-07-29,33.9,17.4,4.7,8.2,0.74,0
2025-07-30,19.6,11.5,18.1,5.7,0.34,0
2025-07-31,31.3,17.9,27.6,13.0,0.46,0
2025-08-01,19.9,13.5,4.9,1.8,0.67,0
2025-08-02,25.7,17.6,12.5,5.8,0.13,0
2025-08-03,20.1,15.8,7.7,11.3,0.6,0
2025-08-04,17.8,11.9,8.6,9.2,0.5,0
2025-08-05,9.8,7.8,14.9,2.8,0.69,0
2025-08-06,23.2,9.4,3.1,6.9,0.55,0
2025-08-07,21.0,12.4,24.5,5.7,0.74,0
2025-08-08,17.5,13.4,22.6,6.4,0.46,0
2025-08-09,27.0,17.3,18.2,4.3,0.71,0
2025-08-10,18.3,10.7,2.4,5.6,0.73,0
2025-08-11,30.8,19.7,13.6,2.1,0.66,0
2025-08-12,32.9,19.6,32.3,7.0,0.98,1
2025-08-13,14.5,12.3,2.2,7.0,0.33,0
2025-08-14,29.9,17.4,19.8,5.7,0.83,0
2025-08-15,14.1,8.1,8.2,0.5,0.75,0
2025-08-16,13.8,9.7,22.6,8.7,0.66,0
2025-08-17,15.9,0.9,13.0,7.3,0.97,0
2025-08-18,17.4,11.8,21.8,4.0,0.44,0
