date,temperature,humidity,wind_speed,rainfall
2025-01-01,0.5,84.6,17.2,0.4
2025-01-02,5.5,82.0,13.3,1.2
2025-01-03,1.3,83.1,22.5,11.3
2025-01-04,-2.2,95.6,14.9,1.0
2025-01-05,-1.0,76.9,6.0,3.0
2025-01-06,-2.1,87.0,16.4,7.8
2025-01-07,1.0,76.4,22.8,7.1
2025-01-08,0.7,84.4,21.1,5.4
2025-01-09,0.5,83.0,21.9,5.9
2025-01-10,5.3,73.7,10.8,4.4
2025-01-11,2.2,86.1,18.7,5.1
2025-01-12,2.7,83.1,12.1,2.0
2025-01-13,-0.9,73.4,16.1,5.0
2025-01-14,-1.0,88.8,10.3,2.3
2025-01-15,0.9,92.0,12.6,7.6
2025-01-16,1.6,92.3,12.6,2.2
2025-01-17,-2.9,86.4,18.7,5.2
2025-01-18,1.0,84.6,18.5,2.5
2025-01-19,0.9,91.5,16.5,0.2
2025-01-20,0.6,93.0,9.8,0.0
2025-01-21,-0.4,89.8,13.9,1.5
2025-01-22,-0.1,79.7,12.0,0.0
2025-01-23,0.6,85.5,18.5,0.0
2025-01-24,1.2,87.2,19.6,1.9
2025-01-25,2.5,75.5,19.3,2.1
2025-01-26,3.1,87.0,11.8,8.2
2025-01-27,0.5,95.1,4.0,0.2
2025-01-28,0.2,86.9,7.5,0.9
2025-01-29,2.2,91.1,21.0,0.1
2025-01-30,2.4,84.6,13.4,3.1
2025-01-31,0.8,82.9,12.1,0.0
2025-02-01,2.8,86.1,21.9,0.2
2025-02-02,3.1,79.8,20.1,1.5
2025-02-03,3.8,78.5,15.4,1.2
2025-02-04,4.5,89.9,13.6,0.0
2025-02-05,-0.7,90.2,14.9,2.9
2025-02-06,1.3,78.5,16.1,0.0
2025-02-07,1.8,87.3,21.4,2.6
2025-02-08,1.3,82.4,17.0,3.4
2025-02-09,0.1,84.5,17.7,2.6
2025-02-10,-1.1,85.3,19.6,0.0
2025-02-11,2.2,87.3,10.6,0.0
2025-02-12,0.5,81.8,17.6,0.9
2025-02-13,1.7,89.0,13.9,0.1
2025-02-14,0.0,83.8,5.0,0.0
2025-02-15,0.1,85.3,6.9,0.6
2025-02-16,2.4,78.6,10.6,0.1
2025-02-17,2.2,92.9,17.4,0.0
2025-02-18,3.4,84.2,15.3,5.1
2025-02-19,6.7,85.2,15.6,4.5
2025-02-20,2.5,74.0,22.6,0.1
2025-02-21,3.2,77.0,9.7,2.9
2025-02-22,0.4,87.4,15.0,0.2
2025-02-23,-0.5,82.1,16.0,0.0
2025-02-24,5.6,72.0,12.2,0.0
2025-02-25,0.3,86.2,15.0,16.2
2025-02-26,0.2,77.7,8.4,8.1
2025-02-27,2.4,87.6,20.5,5.9
2025-02-28,2.7,80.2,12.3,8.3
2025-03-01,0.9,81.2,23.1,0.0
2025-03-02,2.1,85.8,14.9,5.9
2025-03-03,5.4,75.2,19.3,9.0
2025-03-04,1.1,75.0,15.0,0.2
2025-03-05,0.5,78.5,14.8,1.3
2025-03-06,5.4,83.5,12.5,4.9
2025-03-07,4.3,72.1,15.5,0.2
2025-03-08,2.1,70.9,16.4,0.0
2025-03-09,0.4,83.1,11.6,5.3
2025-03-10,1.5,75.7,14.3,0.0
2025-03-11,3.7,76.9,12.4,0.1
2025-03-12,6.9,69.6,24.2,1.9
2025-03-13,1.8,75.3,14.5,0.1
2025-03-14,3.8,78.5,21.3,0.6
2025-03-15,5.6,82.6,13.9,1.2
2025-03-16,-0.2,73.8,15.7,0.0
2025-03-17,6.6,85.6,9.6,1.0
2025-03-18,1.4,73.9,13.2,0.0
2025-03-19,5.3,74.0,15.6,0.0
2025-03-20,5.7,84.6,21.2,0.0
2025-03-21,7.0,78.2,15.8,5.2
2025-03-22,5.6,73.7,20.5,2.7
2025-03-23,0.2,75.3,17.6,0.0
2025-03-24,3.1,83.7,21.4,0.1
2025-03-25,5.7,83.5,15.1,0.4
2025-03-26,4.6,71.8,24.7,5.2
2025-03-27,6.3,75.4,12.9,0.2
2025-03-28,6.8,76.5,12.0,0.3
2025-03-29,6.6,71.4,10.2,1.7
2025-03-30,5.6,75.1,24.6,0.1
2025-03-31,2.1,75.3,18.2,4.0
